Tuna,Mercury
albacore ,0
albacore ,0.41
albacore ,0.82
albacore ,0.32
albacore ,0.036
albacore ,0.28
albacore ,0.29
albacore ,0.34
albacore ,0.36
albacore ,0.42
albacore ,0.51
albacore ,0.48
albacore ,0.401
albacore ,0.3
albacore ,0.3
albacore ,0.37
albacore ,0.324
albacore ,0.569
albacore ,0.385
albacore ,0.27
albacore ,0.376
albacore ,0.35
albacore ,0.3
albacore ,0.324
albacore ,0.37
albacore ,0.569
albacore ,0.35
albacore ,0.35
albacore ,0.385
albacore ,0.385
albacore ,0.27
albacore ,0.376
albacore ,0.376
albacore ,0.27
albacore ,0.3
albacore ,0.272
albacore ,0.397
albacore ,0.475
albacore ,0.39
albacore ,0.55
albacore ,0.0409
albacore ,0.321
albacore ,0.396
yellowfin,0
yellowfin,0
yellowfin,0.06
yellowfin,0.09
yellowfin,0.17
yellowfin,0.21
yellowfin,0.21
yellowfin,0.22
yellowfin,0.23
yellowfin,0.24
yellowfin,0.27
yellowfin,0.3
yellowfin,0.41
yellowfin,0.65
yellowfin,0.19
yellowfin,0.23
yellowfin,0.29
yellowfin,0.59
yellowfin,0.75
yellowfin,0.12
yellowfin,0.48
yellowfin,0.28
yellowfin,0.2
yellowfin,0.517
yellowfin,0.212
yellowfin,0.409
yellowfin,0.184
yellowfin,0.079
yellowfin,0.773
yellowfin,0.138
yellowfin,0.381
yellowfin,0.102
yellowfin,0.438
yellowfin,0.184
yellowfin,0.408
yellowfin,0.346
yellowfin,0.211
yellowfin,0.221
yellowfin,0.304
yellowfin,0.173
yellowfin,0.184
yellowfin,0.438
yellowfin,0.329
yellowfin,0.32
yellowfin,0.37
yellowfin,0.293
yellowfin,0.466
yellowfin,0.569
yellowfin,0.42
yellowfin,0.287
yellowfin,0.437
yellowfin,0.56
yellowfin,0.327
yellowfin,0.176
yellowfin,0.169
yellowfin,0.293
yellowfin,0.552
yellowfin,0.464
yellowfin,0.494
yellowfin,0.312
yellowfin,0.228
yellowfin,0.3109
yellowfin,0.464
yellowfin,0.078
yellowfin,0.355
yellowfin,0.9089
yellowfin,0.705
yellowfin,0.596
yellowfin,0.061
yellowfin,0.5574
yellowfin,0.597
yellowfin,0.106
yellowfin,0.052
yellowfin,0.487
yellowfin,0.354
yellowfin,0.366
yellowfin,0.464
yellowfin,0.138
yellowfin,0.705
yellowfin,0.222
yellowfin,0.409
yellowfin,0.285
yellowfin,0.311
yellowfin,0.151
yellowfin,0.155
yellowfin,0.12
yellowfin,0.287
yellowfin,0.437
yellowfin,0.56
yellowfin,0.102
yellowfin,0.102
yellowfin,0.212
yellowfin,0.212
yellowfin,0.304
yellowfin,0.304
yellowfin,0.173
yellowfin,0.173
yellowfin,0.184
yellowfin,0.184
yellowfin,0.184
yellowfin,0.184
yellowfin,0.079
yellowfin,0.079
yellowfin,0.184
yellowfin,0.184
yellowfin,0.293
yellowfin,0.293
yellowfin,0.346
yellowfin,0.346
yellowfin,0.052
yellowfin,0.355
yellowfin,0.381
yellowfin,0.408
yellowfin,0.438
yellowfin,0.464
yellowfin,0.494
yellowfin,0.517
yellowfin,0.552
yellowfin,0.312
yellowfin,0.38
yellowfin,0.59
yellowfin,0.689
yellowfin,0.061
yellowfin,0.254
yellowfin,0.801
yellowfin,1
yellowfin,0.535
yellowfin,0.401
yellowfin,0.465
yellowfin,0.729
yellowfin,0.178
yellowfin,0.909
yellowfin,0.211
yellowfin,0.176
yellowfin,0.327
yellowfin,1.079
yellowfin,0.169
yellowfin,0.078
yellowfin,0.241
yellowfin,0.154
yellowfin,0.438
yellowfin,0.266
yellowfin,0.651
yellowfin,0.221
yellowfin,0.254
yellowfin,0.79
yellowfin,0.68936
yellowfin,0.252055
yellowfin,0.34
yellowfin,0.33
yellowfin,0.679
yellowfin,1.149
yellowfin,1.478
yellowfin,0.428
yellowfin,0.183
yellowfin,0.586
yellowfin,0.548
yellowfin,0.124
yellowfin,0.293
yellowfin,0.372
yellowfin,0.133
yellowfin,0.12
yellowfin,0.374
yellowfin,0.291
yellowfin,0.299
yellowfin,0.488
yellowfin,0.384
yellowfin,0.298
yellowfin,0.26
yellowfin,0.788
yellowfin,0.104
yellowfin,0.089
yellowfin,0.484
yellowfin,0.242
yellowfin,0.26
yellowfin,0.334
yellowfin,0.384
yellowfin,0.305
yellowfin,0.341
yellowfin,0.064
yellowfin,0.342
yellowfin,0.486
yellowfin,0.17
yellowfin,0.304
yellowfin,0.571
yellowfin,0.503
yellowfin,0.41
yellowfin,0.454
yellowfin,0.724
yellowfin,0.41248
yellowfin,0.1
yellowfin,0.352
yellowfin,0.426
yellowfin,0.1
yellowfin,0.432
yellowfin,0.165
yellowfin,0.377
yellowfin,0.127
yellowfin,0.138
yellowfin,0.888
yellowfin,0.365
yellowfin,0.239
yellowfin,0.684
yellowfin,0.404
yellowfin,0.186
yellowfin,0.308
yellowfin,0.3
yellowfin,0.156
yellowfin,0.43
yellowfin,0.179
yellowfin,0.37
yellowfin,0.0694
yellowfin,0.39
yellowfin,0.438
yellowfin,0.0771
yellowfin,0.189
yellowfin,0.465
yellowfin,0.461
yellowfin,0.962
yellowfin,0.335
yellowfin,0.204
yellowfin,0.841
yellowfin,0.522
yellowfin,0.112
yellowfin,0.703
yellowfin,0.221
yellowfin,0.277
yellowfin,0.035
yellowfin,1.147
yellowfin,0.11
yellowfin,0.379
